str_VAR_NAMES,ENGLISH,FRENCH,GERMAN,ITALIAN,SPANISH
str_SELECT,SELECT,FRA,DEU,ITA,ESP
str_BACK,BACK,FRA,DEU,ITA,ESP
str_NEXT,NEXT,FRA,DEU,ITA,ESP
str_MENU,MENU,FRA,DEU,ITA,ESP
str_OPTIONS,OPTIONS,FRA,DEU,ITA,ESP
str_DELETE,DELETE,FRA,DEU,ITA,ESP
str_DISCARD,DISCARD,FRA,DEU,ITA,ESP
str_DETAIL,DETAIL,FRA,DEU,ITA,ESP
str_GPS,GPS,FRA,DEU,ITA,ESP
str_GPS_COLON,GPS:,FRA,DEU,ITA,ESP
str_SLOPE,SLOPE,FRA,DEU,ITA,ESP
str_FAVORITE,FAVORITE,FRA,DEU,ITA,ESP
str_CANCEL,CANCEL,FRA,DEU,ITA,ESP
str_START,START,FRA,DEU,ITA,ESP
str_RETRY,RETRY,FRA,DEU,ITA,ESP
str_ON,ON,FRA,DEU,ITA,ESP
str_OFF,OFF,FRA,DEU,ITA,ESP
str_OK,OK,FRA,DEU,ITA,ESP
str_NA,N/A,FRA,DEU,ITA,ESP
str_SAVE,SAVE,FRA,DEU,ITA,ESP
str_NEW_TEST,NEW TEST,FRA,DEU,ITA,ESP
str_SNOW_PROFILES,SNOW PROFILES,FRA,DEU,ITA,ESP
str_FAVORITES,FAVORITES,FRA,DEU,ITA,ESP
str_SETTINGS,SETTINGS,FRA,DEU,ITA,ESP
str_MASS_STORAGE,MASS STORAGE,FRA,DEU,ITA,ESP
str_BLUETOOTH_TRANSFER,BLUETOOTH TRANSFER,FRA,DEU,ITA,ESP
str_NEW_SNOW_PROFILE,NEW SNOW PROFILE,FRA,DEU,ITA,ESP
str_SLOPE_MEASUREMENT,SLOPE MEASUREMENT,FRA,DEU,ITA,ESP
str_SETTINGS_SEL,SETTINGS SEL,FRA,DEU,ITA,ESP
str_CONFIG_SETTINGS,CONFIG SETTINGS,FRA,DEU,ITA,ESP
str_SETTINGS_MENU,SETTINGS MENU,FRA,DEU,ITA,ESP
str_DELETE_TEST,DELETE TEST?,FRA,DEU,ITA,ESP
str_DELETE_ALL,DELETE ALL,FRA,DEU,ITA,ESP
str_DELETE_ALL_TESTS,DELETE ALL TESTS,FRA,DEU,ITA,ESP
str_IN_THIS_FOLDER,IN THIS FOLDER?,FRA,DEU,ITA,ESP
str_DELETE_FILE,DELETE FILE?,FRA,DEU,ITA,ESP
str_DELETE_ALL_IN_FOLDER,DELETE ALL IN FOLDER?,FRA,DEU,ITA,ESP
str_DELETING_FOLDER,DELETING FOLDER...,FRA,DEU,ITA,ESP
str_ALIGN_PROBE,ALIGN PROBE,FRA,DEU,ITA,ESP
str_PRESS,PRESS,FRA,DEU,ITA,ESP
str_TO_BEGIN,TO BEGIN,FRA,DEU,ITA,ESP
str_CALIBRATING,  CALIBRATING,FRA,DEU,ITA,ESP
str_COLLECTING_DATA,COLLECTING DATA,FRA,DEU,ITA,ESP
str_COMPASS_CALIBRATION,COMPASS CALIBRATION,FRA,DEU,ITA,ESP
