str_VAR_NAMES,ENGLISH,FRENCH,GERMAN,ITALIAN,SPANISH
str_SELECT,SELECT,SELECTIONNER,AUSWÄHLEN,ITA,ESCOGER
str_BACK,BACK,RETOUR,ZURÜCK,ITA,REGRESAR
str_NEXT,NEXT,SUIVANT,WEITER,ITA,PROXIMO
str_MENU,MENU,MENU,MENÜ,ITA,MENU
str_OPTIONS,OPTIONS,OPTIONS,OPTIONEN,ITA,OPCIONES
str_DELETE,DELETE,SUPPRIMER,LÖSCHEN,ITA,BORRAR
str_DISCARD,DISCARD,ABANDONNER,VERWERFEN,ITA,DESECHAR
str_DETAIL,DETAIL,DETAIL,DETAIL,ITA,DETALLE
str_GPS,GPS,GPS,GPS,ITA,GPS
str_GPS,GPS:,GPS:,GPS:,ITA,GPS:
str_SLOPE,SLOPE,PENTE,HANG,ITA,INCLINACION
str_FAVORITE,FAVORITE,FAVORI,FAVORIT,ITA,FAVORITO
str_CANCEL,CANCEL,ANNULER,ABBRECHEN,ITA,CANCELAR
str_START,START,COMMENCER,START,ITA,INICIAR
str_RETRY,RETRY,RE-ESSAYER,WIEDERHOLEN,ITA,REINTENTAR
str_ON,ON,ALLUME,EINSCHALTEN,ITA,PRENDER
str_OFF,OFF,ETEINT,AUSSCHALTEN,ITA,APAGAR
str_OK,OK,OK,OK,ITA,OK
str_N/A,N/A,S.O.,K.A.,ITA,N/A
str_SAVE,SAVE,SAUVEGARDER,SPEICHERN,ITA,GUARDAR
str_NEW_TEST,NEW TEST,NOUVEAU TEST,NEUER TEST,ITA,NUEVA PRUEBA
str_SNOW_PROFILES,SNOW PROFILES,PROFILS DE NEIGE,SCHNEEPROFILE,ITA,PREFILES DE NIEVE
str_FAVORITES,FAVORITES,FAVORIS,FAVORITEN,ITA,FAVORITOS
str_SETTINGS,SETTINGS,REGLAGES,EINSTELLUNGEN,ITA,AJUSTES
str_MASS_STORAGE,MASS STORAGE,STOCKAGE DE MASSE,MASSENSPEICHER,ITA,ALMACENAMIENTO MASIVO
str_BLUETOOTH_TRANSFER,BLUETOOTH TRANSFER,TRANSFER BLUETOOTH,BLUETOOTH ÜBERTRAGUNG,ITA,TRANSFERENCIA BLUETOOTH
str_NEW_SNOW_PROFILE,NEW SNOW PROFILE,NOUVEAU PROFIL DE NEIGE,NEUES SCHNEEPROFIL,ITA,NUEVA PERFIL DE NIEVE
str_SLOPE_MEASUREMENT,SLOPE MEASUREMENT,MESURE DE PENTE,HANGNEIGUNGSMESSUNG,ITA,MEDICIîN DE INCLINACION
str_SETTINGS_SEL,SETTINGS SEL,SELECTION DES REGLAGES,AUSWAHLEINSTELLUNGEN ,ITA,AJUSTES SEL
str_CONFIG_SETTINGS,CONFIG SETTINGS,CONFIGURATION DES REGLAGES,KONFIGURATIONSEINSTELLUNGEN,ITA,CONFIGURAR LOS AJUSTES
str_SETTINGS_MENU,SETTINGS MENU,MENU DES REGLAGES,EINSTELLUNGSMENÜ,ITA,MENU DE AJUSTES
str_DELETE_TEST?,DELETE TEST?,EFFACER LE TEST?,TEST LÖSCHEN?,ITA,BORRAR PRUEBA?
str_DELETE_ALL,DELETE ALL,TOUT EFFACER,ALLES LÖSCHEN,ITA,BORRAR TODOS
str_DELETE_ALL_TESTS,DELETE ALL TESTS,EFFACER TOUS LES TESTS,ALLE TESTS LÖSCHEN,ITA,BORRAR TODAS PRUEBAS
str_IN_THIS_FOLDER?,IN THIS FOLDER?,DANS CE REPERTOIRE?,IN DIESEN ORDNER?,ITA,EN ESTA CARPETA?
str_DELETE_FILE?,DELETE FILE?,EFFACER LE FICHIER?,DOKUMENT LÖSCHEN?,ITA,BORRAR CARPETA?
str_DELETE_ALL_IN_FOLDER?,DELETE ALL IN FOLDER?,TOUT EFFACER DANS LE REPERTOIRE?,ALLE IM ORDNER LÖSCHEN?,ITA,BORRAR TODO EN CARPETA?
str_DELETING_FOLDER...,DELETING FOLDER...,EFFACEMENT DU REPERTOIREÉ,LÖSCHEN DES ORDNERS...,ITA,BORRANDO CARPETA
str_ALIGN_PROBE,ALIGN PROBE,ALIGNER LA SONDE,SONDE AUSRICHTEN,ITA,ALINEAR EXPLORADOR
str_PRESS,PRESS,APPUYER,DRÜCKEN,ITA,PRESIONAR
str_TO_BEGIN,TO BEGIN,POUR COMMENCER A CALIBRER,ZUM STARTEN,ITA,EMPEZAR
str_CALIBRATING,  CALIBRATING,  CALIBRAGE,KALIBRIERUNG ,ITA,  CALIBRACION
str_COLLECTING_DATA,COLLECTING DATA,COLLECTION DES DONNEES,DATEN SAMMELN,ITA,COLECTANDO DATOS
str_COMPASS_CALIBRATION,COMPASS CALIBRATION,CALIBREMENT DE LA BOUSSOLE,KOMPASS-KALIBRIERUNG,ITA,CALIBRACION DE LA BRòJULA
str_GPS_LOCK_ACQUIRED!,GPS LOCK ACQUIRED!,SATELLITES GPS ACQUIS,GPS DATEN ERHALTEN!,ITA,GPS ADQUIRIDO
str_GPS_INFORMATION,GPS INFORMATION,INFORMATION GPS,GPS INFORMATION,ITA,INFORMACION GPS
str_ACQUIRED!,ACQUIRED!,ACQUIS!,ERHALTEN!,ITA,ADQUIRIDO
str_PLEASE_ENTER_THE,PLEASE ENTER THE,SVP ENTRER LE,BITTE DEN EINGEBEN,ITA,FAVOR DE ENTRAR
str_ENTER,ENTER,ENTRER ,ERFASSEN,ITA,ENTRAR
str_MANUAL_ENTRY,MANUAL ENTRY,MANUELLE ENTRER,MANUELLER EINTRAG,ITA,ENTRADA MANUAL
str_ASPECT,ASPECT,ASPECT,EXPOSITION,ITA,ASPECTO
str_ERROR,ERROR,ERREUR,FEHLER,ITA,ERROR
str_REMOVE_SDCARD,REMOVE SDCARD,RETIRER LA SDCARD,SD-KARTE ENTFERNEN,ITA,RETIRAR LA TARJETA SD
str_PLEASE_INSERT,PLEASE INSERT,SVP INSERER,BITTE EINFÜHREN,ITA,FAVOR DE INSERTAR
str_A_VALID_SDCARD,A VALID SDCARD,UNE SDCARD VALIDE,EINE GÜLTIGE SD-KARTE,ITA,VALIDO TARJETA SD
str_TO_THE_DEVICE,TO THE DEVICE,DANS LÕAPPAREIL,INS GERÄT,ITA,AL APARATO
str_REBOOTING,REBOOTING,REDEMARRAGE,NEUSTARTEN,ITA,REINICIENDO
str_REBOOTING...,REBOOTING...,REDEMARRAGE...,NEUSTARTEN...,ITA,REINICIENDO...
str_REBOOT,REBOOT,REDEMARRER,NEUSTART,ITA,REINICIO
str_SW_REBOOT,SW REBOOT,REDEMARRAGE DU LOGICIEL,SOFTWARE NEUSTART,ITA,REINICIO DE SOFTWARE
str_FIRMWARE_UPDATE,FIRMWARE UPDATE,MISE A JOUR DU FIRMWARE,FIRMWARE UPDATE,ITA,FIRMWARE ACTUALIZADA
str_FAILED,  FAILED,  ECHOUE,FEHLGESCHLAGEN,ITA,  FALTA
str_PLEASE,  PLEASE,  SVP,BITTE,ITA,  POR FAVOR
str_RECONNECT_TO_PC,RECONNECT TO PC,RECONNECTER AU PC,ERNEUT MIT DEM PC VERBINDEN,ITA,VOLVER DE CONECTAR AL PC
str_AND_TRY_AGAIN, AND TRY AGAIN,ET ESSAYER DE NOUVEAU,UND ERNEUT VERSUCHEN,ITA,INTENTAR OTRA VEZ
str_NEW_FIRMWARE,NEW FIRMWARE,NOUVEAU FIRMWARE,NEUE FIRMWARE,ITA,FIRMWARE NUEVA
str_DETECTED,  DETECTED,  DETECTE,FESTGESTELLT,ITA,  DETECTADO
str_PRESS_SELECT,PRESS SELECT,PRESSE SELECTIONNER,AUSWAHL DRÜCKEN,ITA,PRESIONAR ESCOGER
str_TO_REBOOT,  TO REBOOT,  POUR REDEMARRER,ZUM NEUSTARTEN,ITA,  REINICIAR
str_VALIDATING,  VALIDATING,  VALIDATION,ÜBERPRÜFUNG,ITA,  VALIDANDO
str_GRAPH_CUT_AT_PAUSE,GRAPH CUT AT PAUSE,FOO,GRAFIK UNVOLLSTÄNDIG,ITA,RECORTA GRAFICO EN PAUSA
str_ARE_YOU_SURE_YOU,ARE YOU SURE YOU,ETES VOUS SUR,BIST DU SICHER,ITA,ESTAS SEGURO DE
str_WANT_TO_DELETE,WANT TO DELETE,DE VOULOIR EFFACER,LÖSCHEN WILLST?,ITA,QUIERES BORRAR
str_WANT_TO_DISCARD,WANT TO DISCARD,DE VOULOIR ABANDONNER,VERWERFEN WILLST?,ITA,QUIERES DESECHAR
str_THIS_TEST?,THIS TEST?,CE TEST?,DIESEN TEST,ITA,ESTA PRUEBA
str_PROCESSING_DATA,PROCESSING DATA,TRAITEMENT DES DONNEES,DATENVERARBEITUNG,ITA,PROCESANDO DATOS
str_PLEASE_WAIT...,PLEASE WAIT...,ATTENDEZ SVP,BITTE WARTEN...,ITA,ESPERA POR FAVOR...
str_PLEASE_WAIT,PLEASE WAIT,ATTENDER,BITTE WARTEN,ITA,ESPERA POR FAVOR
