ENGLISH,FRENCH,GERMAN,ITALIAN,SPANISH
SELECT,SELECTIONNER,DEU,ITA,ESCOGER
BACK,RETOUR,DEU,ITA,REGRESAR
NEXT,SUIVANT,DEU,ITA,PRÓXIMO
MENU,MENU,DEU,ITA,MENÚ
OPTIONS,OPTIONS,DEU,ITA,OPCIONES
DELETE,SUPPRIMER,DEU,ITA,BORRAR
DISCARD,ABANDONNER,DEU,ITA,DESECHAR
DETAIL,DETAIL,DEU,ITA,DETALLE
GPS,GPS,DEU,ITA,GPS
GPS:,GPS:,DEU,ITA,GPS:
SLOPE,PENTE,DEU,ITA,INCLINACIÓN
FAVORITE,FAVORI,DEU,ITA,FAVORITO
CANCEL,ANNULER,DEU,ITA,CANCELAR
START,COMMENCER,DEU,ITA,INICIAR
RETRY,RE-ESSAYER,DEU,ITA,REINTENTAR
ON,ALLUME,DEU,ITA,PRENDER
OFF,ETEINT,DEU,ITA,APAGAR
OK,OK,DEU,ITA,OK
N/A,S.O.,DEU,ITA,N/A
SAVE,SAUVEGARDER,DEU,ITA,GUARDAR
NEW TEST,NOUVEAU TEST,DEU,ITA,NUEVA PRUEBA
SNOW PROFILES,PROFILS DE NEIGE,DEU,ITA,PREFILES DE NIEVE
FAVORITES,FAVORIS,DEU,ITA,FAVORITOS
SETTINGS,REGLAGES,DEU,ITA,AJUSTES
MASS STORAGE,STOCKAGE DE MASSE,DEU,ITA,ALMACENAMIENTO MASIVO
BLUETOOTH TRANSFER,TRANSFER BLUETOOTH,DEU,ITA,TRANSFERENCIA BLUETOOTH
NEW SNOW PROFILE,NOUVEAU PROFIL DE NEIGE,DEU,ITA,NUEVA PERFÍL DE NIEVE
SLOPE MEASUREMENT,MESURE DE PENTE,DEU,ITA,MEDICIÓN DE INCLINACIÓN
SETTINGS SEL,SELECTION DES REGLAGES,DEU,ITA,AJUSTES SEL
CONFIG SETTINGS,CONFIGURATION DES REGLAGES,DEU,ITA,CONFIGURAR LOS AJUSTES
SETTINGS MENU,MENU DES REGLAGES,DEU,ITA,MENÚ DE AJUSTES
DELETE TEST?,EFFACER LE TEST?,DEU,ITA,¿BORRAR PRUEBA?
DELETE ALL,TOUT EFFACER,DEU,ITA,BORRAR TODOS
DELETE ALL TESTS,EFFACER TOUS LES TESTS,DEU,ITA,BORRAR TODAS PRUEBAS
IN THIS FOLDER?,DANS CE REPERTOIRE?,DEU,ITA,¿EN ESTA CARPETA?
DELETE FILE?,EFFACER LE FICHIER?,DEU,ITA,¿BORRAR CARPETA?
DELETE ALL IN FOLDER?,TOUT EFFACER DANS LE REPERTOIRE?,DEU,ITA,¿BORRAR TODO EN CARPETA?
DELETING FOLDER...,EFFACEMENT DU REPERTOIRE…,DEU,ITA,BORRANDO CARPETA
ALIGN PROBE,ALIGNER LA SONDE,DEU,ITA,ALINEAR EXPLORADOR
PRESS,APPUYER,DEU,ITA,PRESIONAR
TO BEGIN,POUR COMMENCER A CALIBRER,DEU,ITA,EMPEZAR
