English,French,German,Italian,Spanish
SELECT,,,,Escoger
BACK,,,,Regresar
NEXT,,,,Próximo
MENU,,,,Menú
OPTIONS,,,,Opciones
DELETE,,,,Borrar
DISCARD,,,,Desechar
DETAIL,,,,Detalle
GPS,,,,GPS
GPS:,,,,GPS:
SLOPE,,,,Inclinación
FAVORITE,,,,Favorito
CANCEL,,,,Cancelar
START,,,,Iniciar
RETRY,,,,Reintentar
ON,,,,Prender
OFF,,,,Apagar
OK,,,,OK
N/A,,,,N/A
SAVE,,,,Guardar
NEW TEST,,,,Nueva prueba
SNOW PROFILES,,,,Prefiles de nieve
FAVORITES,,,,Favoritos
SETTINGS,,,,Ajustes
MASS STORAGE,,,,almacenamiento masivo
BLUETOOTH TRANSFER,,,,Transferencia Bluetooth
NEW SNOW PROFILE,,,,Nueva perfíl de nieve
SLOPE MEASUREMENT,,,,medición de inclinación
SETTINGS SEL,,,,?
CONFIG SETTINGS,,,,configurar los ajustes
SETTINGS MENU,,,,menú de ajustes
DELETE TEST?,,,,¿borrar prueba?
DELETE ALL,,,,borrar todos
DELETE ALL TESTS,,,,borrar todas pruebas
IN THIS FOLDER?,,,,¿en esta carpeta?
DELETE FILE?,,,,¿borrar carpeta?
DELETE ALL IN FOLDER?,,,,¿borrar todo en carpeta?
DELETING FOLDER...,,,,Borrando carpeta
ALIGN PROBE,,,,alinear explorador
PRESS,,,,Presionar
TO BEGIN,,,,Empezar
  CALIBRATING,,,,calibración
COLLECTING DATA,,,,colectando datos
COMPASS CALIBRATION,,,,calibración de la brújula
GPS LOCK ACQUIRED!,,,,GPS adquirido
GPS INFORMATION,,,,información GPS
ACQUIRED!,,,,Adquirido
PLEASE ENTER THE,,,,Favor de entrar
ERROR,,,,Error
REMOVE SDCARD,,,,Retirar la tarjeta SD
PLEASE INSERT,,,,Favor de insertar
A VALID SDCARD,,,,válido tarjeta SD
TO THE DEVICE,,,,al aparato
REBOOTING,,,,reinicio
REBOOTING...,,,,reinicio…
REBOOT,,,,reinicio
SW REBOOT,,,,reinicio de software
FIRMWARE UPDATE,,,,firmware actualizada
  FAILED,,,,Falta
  PLEASE,,,,Pro favor
RECONNECT TO PC,,,,volver de conectar al PC
 AND TRY AGAIN,,,,Intentar otra vez
NEW FIRMWARE,,,,Firmware nueva
  DETECTED,,,,detectado
PRESS SELECT,,,,Presionar Escoger
  TO REBOOT,,,,Reiniciar
  VALIDATING,,,,validando
GRAPH CUT AT PAUSE,,,,?
